episode,score,steps,total_steps,exploration,mean_loss,elapsed_seconds,terminated,truncated
31,430.0,558,15812,0.2,0.043874705835644685,66.91853455099954,True,False
32,230.0,309,16121,0.2,0.038918712699495546,68.09045143899948,True,False
33,410.0,644,16765,0.2,0.039097064159527094,70.42269343499993,True,False
34,680.0,523,17288,0.2,0.03779196246608893,72.5495651199999,True,False
35,400.0,362,17650,0.2,0.04404596938855118,74.45659558999978,True,False
36,720.0,683,18333,0.2,0.04270191852014229,77.00370459399983,True,False
37,1110.0,960,19293,0.2,0.03926990326678303,80.34803125999952,True,False
38,480.0,528,19821,0.2,0.04448095044107035,82.27940979999948,True,False
39,430.0,496,20317,0.2,0.04367044342741851,84.06516438499966,True,False
40,970.0,1001,21318,0.2,0.04159073574654758,88.25740296099957,True,False
41,1060.0,554,21872,0.2,0.04220000493655102,90.2539881570001,True,False
42,780.0,724,22596,0.2,0.0417343227183755,93.71911071700015,True,False
43,580.0,574,23170,0.2,0.04124161240301206,95.8855610390001,True,False
44,250.0,408,23578,0.2,0.04102669373684216,97.40466726100021,True,False
45,900.0,747,24325,0.2,0.03969560208622077,100.79391116199986,True,False
46,290.0,396,24721,0.2,0.04620888711640028,102.27274860499983,True,False
47,900.0,851,25572,0.2,0.0427477481234447,105.31714389599983,True,False
48,640.0,519,26091,0.2,0.040940456834166895,107.20162290000007,True,False
49,730.0,638,26729,0.2,0.04339094360620947,109.47137042699978,True,False
50,690.0,621,27350,0.2,0.042341135696117436,112.04519706300016,True,False
51,360.0,559,27909,0.2,0.04500278397879031,116.76616420600021,True,False
52,780.0,876,28785,0.2,0.042315938933268744,119.78350963199955,True,False
53,730.0,604,29389,0.2,0.04472085949656436,121.95723636099956,True,False
54,330.0,621,30010,0.2,0.04241016784780509,125.01112172299963,True,False
55,290.0,344,30354,0.2,0.03868380626717712,126.66993017099958,True,False
56,510.0,422,30776,0.2,0.04144520469598542,128.23935111399987,True,False
57,460.0,435,31211,0.2,0.04205029995797237,129.81855492700015,True,False
58,560.0,805,32016,0.2,0.04059119637603733,132.68342752599983,True,False
59,350.0,600,32616,0.2,0.04040152194987361,134.85983363099967,True,False
60,680.0,737,33353,0.2,0.04172099675887021,137.816666445,True,False
61,340.0,789,34142,0.2,0.0436756928025291,141.04924157000005,True,False
62,470.0,690,34832,0.2,0.03442131737455715,143.4857112210002,True,False
63,830.0,512,35344,0.2,0.03945116181466801,145.36297016299977,True,False
64,1560.0,727,36071,0.2,0.038954786341431555,147.94061346499984,True,False
65,1490.0,689,36760,0.2,0.03780658928087961,150.8094214769999,True,False
66,690.0,648,37408,0.2,0.04039703138506063,153.45879199199953,True,False
67,400.0,454,37862,0.2,0.044997257617326966,155.09804656199958,True,False
68,400.0,414,38276,0.2,0.047507221322470844,156.62840291500015,True,False
69,310.0,321,38597,0.2,0.04945619807404,157.82932553299997,True,False
70,1500.0,877,39474,0.2,0.05236917719793544,160.89650525700017,True,False
71,1240.0,649,40123,0.2,0.05276890228614556,163.74043239599996,True,False
72,200.0,405,40528,0.2,0.04815585508157371,165.60710047500015,True,False
73,1000.0,846,41374,0.2,0.049511361777808925,168.58850391499982,True,False
74,1520.0,859,42233,0.2,0.04500218901544983,171.60324111799946,True,False
75,360.0,434,42667,0.2,0.04083453383538182,173.2069318419999,True,False
76,460.0,503,43170,0.2,0.048446481304598,177.75500874099998,True,False
77,1030.0,1089,44259,0.2,0.045658552215600674,181.51960662199963,True,False
78,430.0,435,44694,0.2,0.054909113066168413,183.12776718799978,True,False
79,1360.0,635,45329,0.2,0.05560760291764782,185.4094041950002,True,False
80,270.0,370,45699,0.2,0.054523883384915636,186.83164633599972,True,False
81,860.0,878,46577,0.2,0.04487725360033272,190.61973222899996,True,False
82,290.0,471,47048,0.2,0.0463453572997192,192.36892323099983,True,False
83,750.0,694,47742,0.2,0.044718554568466205,194.87268976799987,True,False
84,470.0,489,48231,0.2,0.051239220116318006,196.71444707699993,True,False
85,460.0,592,48823,0.2,0.05035315638461553,198.8883665200001,True,False
86,1660.0,943,49766,0.2,0.051853404025709,202.79165321500022,True,False
87,390.0,434,50200,0.2,0.050041810929809416,204.58608082499995,True,False
